"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2010;1;1;0.4;1.43;0;-0.6;0.9
51242002;2010;1;2;0;2.54;0;-3.8;1.9
51242002;2010;1;3;0;3.25;0;-3.1;0.4
51242002;2010;1;4;0;3.65;0;-7.7;-3
51242002;2010;1;5;0;5.26;0;-6.2;-0.3
51242002;2010;1;6;0.1;1.84;0;-6.9;-3.6
51242002;2010;1;7;0;6.31;0;-7.9;-2.3
51242002;2010;1;8;0.3;1.73;0;-8.7;-2.5
51242002;2010;1;9;0.4;1.06;0;-3.9;-1
51242002;2010;1;10;0.3;1.53;0;-1.5;-0.6
51242002;2010;1;11;0.2;1.45;0;-1.6;-0.2
51242002;2010;1;12;0.3;1.57;0.5;-1.7;-0.2
51242002;2010;1;13;0.1;1.9;0.5;-2.2;1.9
51242002;2010;1;14;0.1;3.13;0;1;4.3
51242002;2010;1;15;0;1.46;0;-0.5;2
51242002;2010;1;16;0.5;0.98;12;0.8;7.4
51242002;2010;1;17;0;5.04;0;2.4;9.1
51242002;2010;1;18;0.1;1.75;0;1;3.9
51242002;2010;1;19;0.1;1.96;0;0.7;2.8
51242002;2010;1;20;0;0.96;2.5;-0.2;1
51242002;2010;1;21;0.1;1.78;0;0.2;3.5
51242002;2010;1;22;0.2;2.16;0;0.1;5.5
51242002;2010;1;23;0.2;1.68;3.5;1.4;3.1
51242002;2010;1;24;0;1.1;0;1.3;4.4
51242002;2010;1;25;0.2;2.29;0;0;4.1
51242002;2010;1;26;0.4;3.41;0;-2.5;-0.9
51242002;2010;1;27;0.2;4.95;1;-6.4;3.4
51242002;2010;1;28;0.1;2.85;1;0.4;4
51242002;2010;1;29;0.4;1.32;3.5;1.3;4.4
51242002;2010;1;30;0.1;6.26;0;-1.2;1.9
51242002;2010;1;31;0;7.42;1.5;-3.8;2.9
51242002;2010;2;1;0;9.37;0.5;-4.1;2.7
51242002;2010;2;2;0;1.33;11;-5.8;6.6
51242002;2010;2;3;0.2;1.76;3.5;4.2;7.1
51242002;2010;2;4;0.6;5.82;3;5.5;9.8
51242002;2010;2;5;0.5;4.08;4.5;3.8;10
51242002;2010;2;6;0.3;3.18;0;2.1;6.8
51242002;2010;2;7;0.2;2.28;0.5;1.4;4
51242002;2010;2;8;0.4;1.81;0.5;0.7;3.7
51242002;2010;2;9;0.5;2.14;0;-3.5;-1.8
51242002;2010;2;10;0.4;5.15;1.5;-4.3;0
51242002;2010;2;11;0.6;3.51;0;-5.2;-1.3
51242002;2010;2;12;0.2;9.39;0;-6.2;-1.1
51242002;2010;2;13;0.4;3.72;0;-4.9;-2
51242002;2010;2;14;0.3;6.71;0;-5;1.8
51242002;2010;2;15;0.3;3.98;0;-1.5;0.6
51242002;2010;2;16;0.6;10.65;0;-2.6;3.2
51242002;2010;2;17;0.3;3.47;0.5;-2;2.7
51242002;2010;2;18;0.6;5.02;0.5;0.4;8.4
51242002;2010;2;19;0.7;4.56;0;1.7;5.3
51242002;2010;2;20;0.5;8.6;7;-0.6;6
51242002;2010;2;21;0.5;4.83;0;0.1;5.9
51242002;2010;2;22;0.7;3.54;14.5;2.5;11.2
51242002;2010;2;23;0.3;2.59;6;4.6;9
51242002;2010;2;24;0.8;6.55;4.5;4.2;11.5
51242002;2010;2;25;0.9;4.31;4.5;7.6;10.4
51242002;2010;2;26;1.6;6.57;2;6.2;8.5
51242002;2010;2;27;1.6;8.9;11;4;13.2
51242002;2010;2;28;1.4;2.06;7;4.8;11.7
51242002;2010;3;1;0.9;10.32;0;2.4;8.8
51242002;2010;3;2;1.1;13.58;0;1.3;9.5
51242002;2010;3;3;1.5;12.17;0;0.5;7.7
51242002;2010;3;4;1.5;14.03;0;0.4;6.1
51242002;2010;3;5;0.9;10.18;0;-1.6;5.4
51242002;2010;3;6;1.5;10.1;0;1.1;4.3
51242002;2010;3;7;1.5;14.96;0;-3.2;2.5
51242002;2010;3;8;1.2;11.2;0;-4.2;3.2
51242002;2010;3;9;1.7;16.32;0;-3.1;3.7
51242002;2010;3;10;2.3;15.41;0;-2.7;7.5
51242002;2010;3;11;1.4;15.15;0;-1.5;4.5
51242002;2010;3;12;0.9;8.12;0;0.2;6.8
51242002;2010;3;13;0.9;4.91;0;2.8;6.7
51242002;2010;3;14;1.3;6.44;0;3.1;10.4
51242002;2010;3;15;1.3;14.39;0;0.1;12
51242002;2010;3;16;1.6;14.41;0;1.7;12.7
51242002;2010;3;17;1.9;12.54;0;0.9;15.1
51242002;2010;3;18;2.9;11.1;0;4;18.6
51242002;2010;3;19;2.9;7.69;2.5;11.5;18.7
51242002;2010;3;20;1.8;6.17;5.5;12.4;16.2
51242002;2010;3;21;0.7;3.09;0;7.9;9
51242002;2010;3;22;1.4;13.23;0;1.5;13.5
51242002;2010;3;23;1.7;14.97;0;4.4;15.5
51242002;2010;3;24;2.6;12.93;0;7.2;18.5
51242002;2010;3;25;2.3;8.71;4;9.6;16.9
51242002;2010;3;26;2.3;10.9;1;8.3;13
51242002;2010;3;27;1;5.83;0;4.1;10.8
51242002;2010;3;28;1.1;6.98;10.5;7.3;11.2
51242002;2010;3;29;2.2;12.2;4;9.7;16.1
51242002;2010;3;30;1.8;9.26;4;5;13.3
51242002;2010;3;31;2.8;10.84;2;4.7;8.6
51242002;2010;4;1;2.6;18.16;0;1.5;10.3
51242002;2010;4;2;1.6;8.17;7.5;2.8;9.6
51242002;2010;4;3;1.8;9;3;5.1;11.1
51242002;2010;4;4;1.6;6.81;1.5;5.7;9.3
51242002;2010;4;5;1.9;15.22;0;0.3;12.3
51242002;2010;4;6;3.1;21.21;0;2.3;17
51242002;2010;4;7;1.7;9;0.5;6;15.5
51242002;2010;4;8;2.1;8.74;0;7.3;12.4
51242002;2010;4;9;2.5;19.74;0;2.3;16.1
51242002;2010;4;10;2.7;19.41;0;5.1;14.1
51242002;2010;4;11;2.7;15.93;0;3;11.6
51242002;2010;4;12;2.6;15.39;0;2.4;13.6
51242002;2010;4;13;3.8;20.22;0;6.2;16.5
51242002;2010;4;14;3;17.34;0;4.7;14.9
51242002;2010;4;15;3.4;20.46;0;4.3;16.1
51242002;2010;4;16;3.1;22;0;4;11.9
51242002;2010;4;17;3.4;22.28;0;2.5;16.3
51242002;2010;4;18;3.3;21.92;0;3.9;19.8
51242002;2010;4;19;3.1;20.97;0;3;17
51242002;2010;4;20;2.6;16.86;0;2.5;14.7
51242002;2010;4;21;3;21.54;0;1.2;14.1
51242002;2010;4;22;3.7;24.99;0;1.7;13.4
51242002;2010;4;23;4;24.84;0;2.7;17.2
51242002;2010;4;24;4.1;24.93;0;4.4;22.3
51242002;2010;4;25;3.4;20.02;0;6.5;20.7
51242002;2010;4;26;2;11.06;0;6.1;15.9
51242002;2010;4;27;3.1;22.33;0;3.8;20
51242002;2010;4;28;4.5;23.74;0;7.5;24.2
51242002;2010;4;29;4.6;20.1;1;10.5;26.9
51242002;2010;4;30;3.7;17.66;0;11.4;16
51242002;2010;5;1;2.6;15.01;6.5;6.4;15.9
51242002;2010;5;2;3;17.94;4.5;8.5;14.3
51242002;2010;5;3;1.7;5.92;0;5.6;8.6
51242002;2010;5;4;3;17.03;0;4.1;10.5
51242002;2010;5;5;3;18.07;0;2.4;12.3
51242002;2010;5;6;3.7;20.82;0;3.9;14.8
51242002;2010;5;7;2;10.43;0;4.9;10.8
51242002;2010;5;8;3.4;25.06;0;3.1;15.8
51242002;2010;5;9;3.2;20.81;0;6;15.7
51242002;2010;5;10;3.9;20.03;2;7;14.2
51242002;2010;5;11;1;3.54;2.5;5.6;7.2
51242002;2010;5;12;1.2;5.59;0;4.7;7.9
51242002;2010;5;13;1.5;7.67;0;5.2;10
51242002;2010;5;14;2.4;13.88;0;5.6;13.8
51242002;2010;5;15;3.3;19.41;0;4;15.1
51242002;2010;5;16;3.5;21.57;0;5.4;16.6
51242002;2010;5;17;3.7;16.28;0.5;10;17.6
51242002;2010;5;18;3.4;22.95;0;2.6;18.1
51242002;2010;5;19;4.6;29.12;0;3.7;18.9
51242002;2010;5;20;4.5;28.42;0;3.6;21.4
51242002;2010;5;21;4.7;27.1;0;9.7;21.7
51242002;2010;5;22;5.4;28.66;0;9.8;22.3
51242002;2010;5;23;5.3;28.4;0;9.8;25.4
51242002;2010;5;24;5.3;28.68;0;10.3;27.7
51242002;2010;5;25;4.9;23.92;10;12.4;27.7
51242002;2010;5;26;1.3;6.21;2;10.7;14.6
51242002;2010;5;27;2.5;14.37;0;9.1;17.6
51242002;2010;5;28;4.1;25.43;0;6.5;18.2
51242002;2010;5;29;3.2;15.78;5.5;6.6;19.2
51242002;2010;5;30;2.9;12.15;0.5;12.2;16.9
51242002;2010;5;31;1.2;6.05;0.5;7.1;14.7
51242002;2010;6;1;1.7;8.68;6.5;10;15
51242002;2010;6;2;5.1;28.61;0;11.2;20.7
51242002;2010;6;3;5.4;30.26;0;8.7;23.2
51242002;2010;6;4;5.5;30.23;0;10.8;26.4
51242002;2010;6;5;5.5;28.67;0;12.6;28.4
51242002;2010;6;6;3.5;15.45;17.5;15.1;22.2
51242002;2010;6;7;4;21.91;0;11.2;20.2
51242002;2010;6;8;4;19.1;2;13.7;22
51242002;2010;6;9;1.5;7.26;14.5;14.7;18.5
51242002;2010;6;10;1.8;7.33;4;15;22.2
51242002;2010;6;11;5.4;26.4;5;15.5;25.6
51242002;2010;6;12;3.8;18.41;1;12.8;19.7
51242002;2010;6;13;3.1;19.18;0;7.2;18.6
51242002;2010;6;14;3;16.17;0;11.4;19.1
51242002;2010;6;15;5.2;24.2;0;12.5;19.2
51242002;2010;6;16;5.8;30.58;0;8.6;21.1
51242002;2010;6;17;3.4;14.2;0;12.3;19.5
51242002;2010;6;18;4;19.61;0;11.4;19.5
51242002;2010;6;19;4.2;20.68;1;10;15.9
51242002;2010;6;20;2.5;11.56;0.5;8.3;14.5
51242002;2010;6;21;3.3;18.44;0;8.3;17.7
51242002;2010;6;22;4.6;29.08;0;6.9;22.1
51242002;2010;6;23;5;28;0.5;9.8;25.5
51242002;2010;6;24;5.5;29.68;0;11.5;26.4
51242002;2010;6;25;5.2;28.47;0;10.9;27.4
51242002;2010;6;26;5.6;26.68;0;14.2;28.3
51242002;2010;6;27;5.9;29.38;0;13.9;30
51242002;2010;6;28;5.3;24.3;0;15;30.4
51242002;2010;6;29;5.7;26.63;0;15.9;27
51242002;2010;6;30;5.3;26.9;0;13.4;28.3
51242002;2010;7;1;6;26.54;0;15.1;32.3
51242002;2010;7;2;6.6;25.69;1;18.4;34.6
51242002;2010;7;3;2.6;10.57;8.5;17.1;23.2
51242002;2010;7;4;5.9;30.55;0;13;25.7
51242002;2010;7;5;4.1;19.51;0;12.2;24.3
51242002;2010;7;6;4.4;24.43;0;9;24.2
51242002;2010;7;7;5.5;29.2;0;11;28
51242002;2010;7;8;6;29.38;0;13.2;31.9
51242002;2010;7;9;4.7;18.96;0;17.1;31.4
51242002;2010;7;10;4;16.43;0;16;29.9
51242002;2010;7;11;6.9;29.18;3.5;17.5;32
51242002;2010;7;12;3.7;14.79;14.5;18.3;24.5
51242002;2010;7;13;5.3;23.76;0;15.7;27.5
51242002;2010;7;14;3.4;13.72;21.5;13.9;25.6
51242002;2010;7;15;5.8;23.1;0;14.4;24.2
51242002;2010;7;16;3.3;12.46;0.5;13.7;23.3
51242002;2010;7;17;4;19.26;0;11.7;21.8
51242002;2010;7;18;4.9;29.35;0;7.2;25.1
51242002;2010;7;19;5.5;28.43;0;11.4;28.8
51242002;2010;7;20;5.8;24.45;0;15.2;30.7
51242002;2010;7;21;3.6;15.03;0;14.2;24.3
51242002;2010;7;22;4.9;21.83;4;14.1;25.5
51242002;2010;7;23;3.5;15.4;0;14;21.5
51242002;2010;7;24;3.3;17.39;0;10.3;22.8
51242002;2010;7;25;3.3;15.07;0;14.2;21.8
51242002;2010;7;26;2.8;12.05;5;15.2;21.4
51242002;2010;7;27;2.5;11.28;2;14.7;23.6
51242002;2010;7;28;5.2;22.94;0;17;24.2
51242002;2010;7;29;3.2;12.6;0;14.1;20.9
51242002;2010;7;30;4.4;22.12;0;12.3;25.3
51242002;2010;7;31;4.5;16.45;0.5;16.1;27.8
51242002;2010;8;1;3.4;15.54;0;13.3;22.9
51242002;2010;8;2;3.5;17.72;1;13.3;22.4
51242002;2010;8;3;3.5;18.22;0;10;24.5
51242002;2010;8;4;2.6;10.62;4.5;12.6;20.8
51242002;2010;8;5;4.6;24.09;0;12.4;21.4
51242002;2010;8;6;4;22.8;0.5;8.5;24
51242002;2010;8;7;3.7;14.07;1.5;14.9;25.7
51242002;2010;8;8;2.8;12.82;0;12.8;22.4
51242002;2010;8;9;3.3;17.69;0;9.1;25
51242002;2010;8;10;3.2;13.66;11.5;11.2;25.4
51242002;2010;8;11;4;16.39;1;16.5;23.8
51242002;2010;8;12;3.7;19.8;0;10.5;22.7
51242002;2010;8;13;3.1;16.79;1;11.1;21
51242002;2010;8;14;3;17.34;0.5;7.9;22.5
51242002;2010;8;15;0.9;3.24;38.5;14.4;16.8
51242002;2010;8;16;0.7;3.3;13.5;13.2;15.7
51242002;2010;8;17;1.1;5.71;10;12.2;17.1
51242002;2010;8;18;4;18.15;0;14.7;21.1
51242002;2010;8;19;3.7;19.89;0.5;10.7;22.4
51242002;2010;8;20;4.8;22.56;0;12.9;28.9
51242002;2010;8;21;4.6;22.76;0;14;29.3
51242002;2010;8;22;2.8;13.2;5;16.6;27.3
51242002;2010;8;23;4.3;14.24;1;18.9;23.6
51242002;2010;8;24;4.5;20;0;11.4;22.3
51242002;2010;8;25;3.2;15.6;0;11;21.3
51242002;2010;8;26;2.3;6.06;14.5;19.2;23.7
51242002;2010;8;27;2.2;8.1;4.5;15.5;21.1
51242002;2010;8;28;3.3;20.84;0;9.8;19.6
51242002;2010;8;29;2;7.92;2;10.3;16.7
51242002;2010;8;30;3.5;18.19;0;9.6;18.8
51242002;2010;8;31;2.7;18.12;0.5;7.5;20
51242002;2010;9;1;3.1;19.28;0;8.1;20.5
51242002;2010;9;2;3.4;18.81;0;9.8;21.1
51242002;2010;9;3;3.3;20.67;0;10;21.3
51242002;2010;9;4;3.1;17.92;0;10;21.5
51242002;2010;9;5;3.6;19.08;0;10.5;22.4
51242002;2010;9;6;2.5;8.52;4;10.6;19.3
51242002;2010;9;7;2.7;16.45;6.5;13.2;21
51242002;2010;9;8;1.5;7.14;17.5;14.4;18.1
51242002;2010;9;9;1.7;9.9;7.5;11.1;19.2
51242002;2010;9;10;2;12.01;0;10.3;20.6
51242002;2010;9;11;3;18.2;0;11.4;23.9
51242002;2010;9;12;2.2;10.53;2.5;14.4;20.3
51242002;2010;9;13;2.2;14.63;0;9.1;20.2
51242002;2010;9;14;3.1;11.52;2;14.4;21.7
51242002;2010;9;15;3.1;15.03;0.5;11.7;18.3
51242002;2010;9;16;2.1;8.36;3;11.2;18.2
51242002;2010;9;17;1.9;14.17;0.5;6.1;16.7
51242002;2010;9;18;1.9;15.93;0;4.3;17
51242002;2010;9;19;2;14.33;0;4.7;18.9
51242002;2010;9;20;2.4;16.6;0;6.6;21.2
51242002;2010;9;21;2.3;17.13;0;7.8;22.5
51242002;2010;9;22;2.6;17.14;0;9.2;24.4
51242002;2010;9;23;1.9;8.07;2.5;11.9;22.6
51242002;2010;9;24;1.7;9.17;0.5;12.4;18
51242002;2010;9;25;2.3;10.8;0.5;9.6;14.2
51242002;2010;9;26;1.4;6.12;7;9.1;13.8
51242002;2010;9;27;0.8;6.85;0;5.8;13
51242002;2010;9;28;0.3;2.36;2.5;10.4;15.3
51242002;2010;9;29;1.2;6.94;2.5;12.8;17.7
51242002;2010;9;30;1.6;9.46;0.5;12.5;17.1
51242002;2010;10;1;1.3;9.96;12.5;7.8;16.8
51242002;2010;10;2;0.7;3.53;1;13;18.6
51242002;2010;10;3;2.1;10.63;1.5;13.2;22.6
51242002;2010;10;4;1.8;7.14;0.5;15.2;21.1
51242002;2010;10;5;0.7;5.21;2;12;16.8
51242002;2010;10;6;0.9;3.13;0.5;14.6;16.7
51242002;2010;10;7;1.6;8.67;0;13.2;21.9
51242002;2010;10;8;1.5;7.69;0;12.6;20.2
51242002;2010;10;9;1.8;11.66;0;12.4;21.2
51242002;2010;10;10;2.6;13.66;0;10.5;20.5
51242002;2010;10;11;2.3;13.38;0;7;17.9
51242002;2010;10;12;1.6;12.87;0;5.2;15.2
51242002;2010;10;13;1.4;12.33;0.5;5.1;13.2
51242002;2010;10;14;0.9;10.51;0;3.7;14.4
51242002;2010;10;15;0.8;5.84;2.5;9.6;13.8
51242002;2010;10;16;1.4;10.74;0;7.3;13.6
51242002;2010;10;17;0.8;5.55;0;2.8;8.5
51242002;2010;10;18;0.6;10.37;1;-1;12.9
51242002;2010;10;19;1.2;8.77;2.5;8.3;13.2
51242002;2010;10;20;1;8.77;0;4.8;9.9
51242002;2010;10;21;0.7;11.58;0;-2.7;10.7
51242002;2010;10;22;1;6.76;0;0.2;11.9
51242002;2010;10;23;0.4;2.32;2;0.3;9.4
51242002;2010;10;24;0.5;9.32;1.5;2.3;11.4
51242002;2010;10;25;0.5;9.59;0;1;10.8
51242002;2010;10;26;0.5;6.92;0.5;-2;10.4
51242002;2010;10;27;1.4;5.17;0.5;6.6;14.1
51242002;2010;10;28;0.9;7.03;0;7.2;14.4
51242002;2010;10;29;1.4;5.76;1;7.1;15.2
51242002;2010;10;30;1;5.8;3;9.9;14.6
51242002;2010;10;31;0.6;5.72;0;8;15.1
51242002;2010;11;1;0.4;4.75;0;6.9;13.3
51242002;2010;11;2;0.1;2.89;0.5;4.7;12.4
51242002;2010;11;3;0.6;3.48;0;10.5;15.3
51242002;2010;11;4;1.4;2.93;0;13.4;16.9
51242002;2010;11;5;1.3;2.75;0;11;16.1
51242002;2010;11;6;0.5;2.23;2.5;9.2;12.6
51242002;2010;11;7;0.3;3.89;0;5;9.2
51242002;2010;11;8;0.3;1.89;8.5;2.1;6.9
51242002;2010;11;9;0;1.68;12.5;4.5;9.3
51242002;2010;11;10;0.6;4.33;2;5.1;8.7
51242002;2010;11;11;0.9;0.92;9;1.1;14
51242002;2010;11;12;1.1;1.78;2.5;9;14.3
51242002;2010;11;13;0.1;0.9;43.5;11.6;14
51242002;2010;11;14;0.9;1.41;2;11.2;13.3
51242002;2010;11;15;0.1;5.41;0;4.3;12.6
51242002;2010;11;16;0;3.09;0;-0.2;5.4
51242002;2010;11;17;0.2;2.08;0;0.7;5.1
51242002;2010;11;18;0.1;1.18;0.5;4;7
51242002;2010;11;19;0.2;1.66;0;6.1;7.2
51242002;2010;11;20;0.2;5.34;0;5.8;10
51242002;2010;11;21;0.1;1.43;0;2.1;4.3
51242002;2010;11;22;0.3;1.03;0;3.7;4.4
51242002;2010;11;23;0.1;3;0;-0.1;6.8
51242002;2010;11;24;0;4.82;0;0.8;7
51242002;2010;11;25;0.2;2.6;0;-1.2;3.9
51242002;2010;11;26;0.1;3.93;0;0.1;4
51242002;2010;11;27;0.2;2.06;0;-1.2;1.1
51242002;2010;11;28;0.2;2.2;0;-2.5;0.3
51242002;2010;11;29;0.2;1.16;0;-2.7;-1.7
51242002;2010;11;30;0.4;1.07;0;-2.5;-0.3
51242002;2010;12;1;0.4;2.11;0;-4.9;-2.9
51242002;2010;12;2;0.1;1.64;0;-4.9;-2
51242002;2010;12;3;0;2.38;0;-7.8;-3.6
51242002;2010;12;4;0;1.44;5;-8.8;2.4
51242002;2010;12;5;0.1;0.8;11;0.2;2.1
51242002;2010;12;6;0;2.47;0;-2;0.3
51242002;2010;12;7;0.1;1.66;0.5;-2;-0.7
51242002;2010;12;8;0.2;0.94;0;-1.5;1.4
51242002;2010;12;9;0;5.79;0;-2.7;3.4
51242002;2010;12;10;0.1;1.36;0;-1.7;5.6
51242002;2010;12;11;0;1.03;0;2.8;5.7
51242002;2010;12;12;0.2;2.89;0;2.6;6.5
51242002;2010;12;13;0;4.91;0;-3.3;1.8
51242002;2010;12;14;0;3.88;0;-3.4;-0.4
51242002;2010;12;15;0;1.73;0;-5.7;2.6
51242002;2010;12;16;0.2;0.75;9;0.3;4.2
51242002;2010;12;17;0;4.51;0.5;-3.7;-0.9
51242002;2010;12;18;0;1.6;1;-12.5;0.1
51242002;2010;12;19;0.2;1.34;17;-4.1;2.1
51242002;2010;12;20;0;2.87;1;-8.9;1.4
51242002;2010;12;21;0;2.19;0;-2.9;1.7
51242002;2010;12;22;0;2.08;2.5;-1.1;0.7
51242002;2010;12;23;0;1.59;1.5;-1.8;-0.5
51242002;2010;12;24;0.4;1.95;0;-1.6;-0.5
